trade_id,trade_date,open_time,close_time,instrument,asset_class,direction,entry_price,exit_price,quantity,pnl,risk_amount,strategy,account_id,trader_id
1,2024-01-28,2024-01-28 10:13:00,2024-01-28 13:42:00,GBPUSD,Forex,Buy,18758.28,18825.21,1,450.71,149.08,TrendFollowing,2,104
2,2024-06-02,2024-06-02 13:51:00,2024-06-02 17:28:00,NIFTY,Equity,Buy,29952.99,29915.85,5,-343.98,39.64,Scalping,1,102
3,2024-02-27,2024-02-27 13:47:00,2024-02-27 14:47:00,ETHUSDT,Crypto,Buy,2951.28,3033.14,4,366.18,124.21,Scalping,2,105
4,2024-06-24,2024-06-24 14:37:00,2024-06-24 16:44:00,EURUSD,Forex,Sell,35418.23,35360.97,4,-479.42,194.28,Scalping,3,102
5,2024-06-03,2024-06-03 14:57:00,2024-06-03 15:41:00,BTCUSDT,Crypto,Buy,41630.51,41587.55,5,-287.66,44.55,Scalping,1,102
6,2024-05-27,2024-05-27 09:45:00,2024-05-27 12:13:00,BANKNIFTY,Equity,Sell,9211.06,9146.03,4,-195.76,109.7,MeanReversion,3,101
7,2024-02-27,2024-02-27 15:45:00,2024-02-27 18:51:00,NIFTY,Equity,Sell,21625.65,21537.3,2,-208.77,126.25,TrendFollowing,3,105
8,2024-02-14,2024-02-14 10:06:00,2024-02-14 12:14:00,ETHUSDT,Crypto,Buy,7017.72,6950.33,5,-207.86,79.61,Breakout,1,101
9,2024-02-09,2024-02-09 11:44:00,2024-02-09 12:07:00,NIFTY,Equity,Buy,22830.7,22910.72,5,285.18,47.94,Breakout,2,101
10,2024-05-07,2024-05-07 10:42:00,2024-05-07 13:28:00,BANKNIFTY,Equity,Sell,25736.01,25748.32,1,92.41,18.83,Breakout,3,104
11,2024-05-04,2024-05-04 11:32:00,2024-05-04 13:26:00,BTCUSDT,Crypto,Sell,30396.87,30293.13,5,-329.48,22.36,Breakout,3,105
12,2024-07-01,2024-07-01 09:43:00,2024-07-01 10:40:00,ETHUSDT,Crypto,Buy,47446.83,47507.06,2,465.63,163.6,Scalping,3,102
13,2024-06-03,2024-06-03 10:39:00,2024-06-03 13:36:00,GBPUSD,Forex,Buy,15265.46,14917.72,1,-402.33,140.0,MeanReversion,1,101
14,2024-07-16,2024-07-16 10:46:00,2024-07-16 11:29:00,BANKNIFTY,Equity,Buy,22035.62,21996.35,5,-377.96,104.08,Scalping,1,105
15,2024-02-26,2024-02-26 14:02:00,2024-02-26 15:30:00,ETHUSDT,Crypto,Sell,1767.71,1838.25,3,409.32,59.17,Breakout,1,102
16,2024-02-29,2024-02-29 13:38:00,2024-02-29 16:26:00,BTCUSDT,Crypto,Buy,33142.99,33114.68,3,-188.29,108.81,TrendFollowing,1,103
17,2024-01-15,2024-01-15 14:26:00,2024-01-15 18:04:00,GBPUSD,Forex,Sell,27358.18,27311.14,5,-315.15,194.22,TrendFollowing,1,104
18,2024-05-24,2024-05-24 12:44:00,2024-05-24 13:55:00,EURUSD,Forex,Sell,38767.88,38825.33,1,439.5,180.02,Breakout,1,101
19,2024-05-15,2024-05-15 15:33:00,2024-05-15 16:28:00,BANKNIFTY,Equity,Buy,29915.1,29991.55,4,421.87,26.81,Scalping,1,102
20,2024-02-01,2024-02-01 15:11:00,2024-02-01 19:07:00,ETHUSDT,Crypto,Sell,9839.34,9757.68,2,-454.77,71.81,MeanReversion,3,103
21,2024-02-01,2024-02-01 10:27:00,2024-02-01 14:15:00,GBPUSD,Forex,Buy,19464.43,19411.0,4,-228.65,167.46,Breakout,2,103
